,alpha,beta,delta_m,lam,lamb,mmin,mpp,mu_chi,mu_spin,sigma_chi,sigma_spin,sigpp,xi_spin
111,3.5897865,-0.30373657,4.6351967,0.018054498,5.0058155,5.0644236,33.698215,0.1665359,0.19694173,0.22050928,0.24326812,3.7543826,0.99085313
112,3.8150125,2.7420626,5.463134,0.018116513,4.1560993,5.3384023,32.27334,0.1225627,0.0070978403,0.23716298,0.2778442,2.791512,0.41095942
113,3.8302493,1.882812,5.5808244,0.015769346,4.004099,4.7477856,33.357964,0.12767872,0.03084302,0.29044855,0.2579987,3.565481,0.7600326
114,3.7628937,1.0819793,6.152268,0.01317991,4.1028805,5.4084787,34.085915,0.12035737,0.10174453,0.29141876,0.28830898,1.4077282,0.5442215
115,3.7013035,0.2188859,4.411029,0.035366643,4.9788656,5.8174295,31.311562,0.16045813,0.121160865,0.19269083,0.33193558,4.4446764,0.9969869
116,3.7871447,0.3579533,3.0883393,0.027630359,4.707361,5.7503424,34.550385,0.24367377,0.21505988,0.16126633,0.2795055,3.1351988,0.89261043
117,3.57307,1.1018786,5.489253,0.023171907,3.8254566,4.2481527,32.039997,0.25987798,0.23933136,0.1629673,0.6457808,2.5726688,0.8405774
118,3.6446795,0.017777681,7.1928678,0.01035821,4.635936,4.3503294,36.233826,0.16120411,0.30929184,0.20688762,0.48728967,3.228159,0.41494027
119,3.6782317,1.5845947,3.2849522,0.02804255,4.456024,5.6911745,33.310677,0.2187441,0.27315342,0.29751077,0.5516944,4.2028213,0.9911958
120,3.6824017,0.5998688,5.3604717,0.04129993,4.037739,5.113904,32.995808,0.110144354,0.061562777,0.2512302,0.24342377,3.3363955,0.808688
121,3.4485788,0.062491655,3.2443109,0.030678963,5.138521,5.7593617,33.05068,0.1013114,0.16336691,0.2002743,0.40298283,4.7686076,0.97570497
122,3.710401,0.52983785,4.739492,0.02877375,4.5153437,5.433477,34.709625,0.12908815,0.1741941,0.26803046,0.26015478,4.705318,0.6729546
123,3.6579852,1.0179965,4.524159,0.022022862,4.33169,5.292011,32.560493,0.100964546,0.07130003,0.29226047,0.21879691,2.040113,0.8855171
124,3.6302648,0.51011753,4.8400173,0.02714986,4.533148,4.936755,34.21528,0.10116425,0.10548043,0.27703363,0.2072564,4.4239545,0.8612867
125,3.8712358,1.7751257,5.614747,0.015900668,4.8662186,5.062797,32.35998,0.10981191,0.08899057,0.206834,0.33986855,3.4233696,0.8117753
126,4.0330534,1.3326216,6.710064,0.014780394,4.2758064,4.383815,31.088348,0.109277755,0.11425936,0.25652045,0.29215986,5.909875,0.8334055
127,3.7871895,2.4993863,4.969318,0.014968683,5.3954716,5.1009035,31.381084,0.17771798,0.061998487,0.36006248,0.3259829,4.5043077,0.7813617
128,4.188429,0.26820993,5.021,0.025960123,4.867791,5.614974,33.13108,0.102020994,0.29451668,0.22333583,0.3136189,5.2698164,0.89900726
129,3.772737,2.7274485,3.8225527,0.028866192,4.4143524,5.7121634,33.040348,0.1035592,0.18466151,0.30833915,0.38905853,4.4431524,0.44861203
130,3.9160533,1.9295096,4.0877457,0.025968459,4.706641,5.7911453,32.11798,0.10782974,0.16924095,0.28526068,0.4177052,2.9514768,0.7155872
131,3.5382109,0.28610873,5.9926505,0.012214378,4.625746,4.9840555,34.928085,0.2522414,0.1890434,0.19463524,0.20766963,1.3147272,0.6836041
132,3.880896,1.2044351,3.6175218,0.04636178,5.1861916,5.73101,28.668678,0.116634786,0.08267832,0.34867048,0.20118034,6.382614,0.8946363
133,3.1625528,-0.09778488,4.5549,0.055766206,3.2409267,5.115587,34.108948,0.13933912,0.2015152,0.22408324,0.23148027,3.4681168,0.646292
134,4.6804104,1.8117261,6.5689964,0.004697757,6.015114,4.6502748,32.208504,0.19959182,0.23206198,0.22050235,0.46306187,4.2852764,0.61664295
135,4.6059866,1.5564735,6.080022,0.004807464,6.1412697,5.1501193,33.29221,0.15231547,0.13675725,0.2062527,0.395263,2.587877,0.82806635
